sku,name,description,unitOfMeasure,isCritical,category_L1,category_L2,category_L3,category_L4
PROD-ea2c7d,Acrylic Solvent Clean-Up,"A versatile solvent ideal for cleaning and removing residues from acrylic paint, making it perfect for artists and DIY enthusiasts.",KG,False,Direct Materials,Raw Materials,Chemicals,Solvents & Adhesives
PROD-e59005,Eco-Friendly Travel Pack,A durable and stylish reusable bag perfect for packing essentials during travel.,Piece,True,Direct Materials,Packaging Materials,Primary Packaging,"Bags, Pouches & Wrappers"
PROD-07f10c,Precision Aluminum Bolt,Durable machined aluminum bolts designed for reliable performance in various industrial applications.,KG,True,Direct Materials,Components & Sub-Assemblies,Fabricated Parts,Machined Parts
PROD-63dfa4,Precision 1% Carbon Film Resistor,High-accuracy resistor suitable for precision analog circuits requiring tight tolerance control.,Piece,False,Direct Materials,Components & Sub-Assemblies,Electronic Components,"Passive Components (Resistors, Capacitors)"
PROD-89928f,Precision 1% Carbon Film Resistor,A high-accuracy resistor ideal for precise circuit designs and critical measurements.,Box,False,Direct Materials,Components & Sub-Assemblies,Electronic Components,"Passive Components (Resistors, Capacitors)"
PROD-48826d,Organic Cotton Handkerchief,A soft and durable handkerchief made from ethically sourced organic cotton.,Set,False,Direct Materials,Raw Materials,Agricultural Products,"Fibers (Cotton, Wool)"
PROD-c86fc8,Precision Shaft Assembly,A high-quality machined shaft designed for optimal performance and durability in mechanical applications.,Set,True,Direct Materials,Components & Sub-Assemblies,Fabricated Parts,Machined Parts
PROD-c4a673,Lithium Ion Battery,"High-capacity, rechargeable lithium-ion battery designed for efficient energy storage and powering electronic devices.",Box,False,Direct Materials,Raw Materials,Metals & Minerals,"Non-Ferrous Metals (Aluminum, Copper, Lithium)"
PROD-c121ce,Eco-Friendly Tote Bag,A durable and stylish tote bag made from sustainable materials.,Set,False,Direct Materials,Packaging Materials,Primary Packaging,"Bags, Pouches & Wrappers"
PROD-e7c804,EcoGuard Aluminum Can,Recycled aluminum cans designed to reduce environmental impact while maintaining high-quality performance.,Set,False,Direct Materials,Raw Materials,Metals & Minerals,"Non-Ferrous Metals (Aluminum, Copper, Lithium)"
PROD-3352a0,FlexiWrap Pro,A versatile stretch wrap ideal for packaging fragile items securely while maintaining flexibility.,KG,False,Direct Materials,Packaging Materials,Tertiary Packaging & Shipping Supplies,Stretch & Shrink Wrap
PROD-2ae4fd,Polyethylene Terephthalate (PET) Resin,A versatile and durable PET resin ideal for packaging solutions requiring high clarity and strength.,Piece,False,Direct Materials,Raw Materials,Plastics & Polymers,"Resins (PET, HDPE)"
PROD-1766de,Quinoa Super Seed Blend,"A nutritious blend of quinoa and other high-protein seeds, perfect for enhancing meals with a boost of fiber and essential nutrients.",Box,False,Direct Materials,Raw Materials,Agricultural Products,Grains & Cereals
PROD-d1bc46,Aluminum-Plated FR4 PCB,A robust and cost-effective printed circuit board designed for high-speed electronic applications.,Piece,False,Direct Materials,Components & Sub-Assemblies,Electronic Components,Printed Circuit Boards (PCBs)
PROD-1a3653,Pure Olive Oil Extra Virgin,"A high-quality, cold-pressed olive oil perfect for cooking and dressing salads.",Box,False,Direct Materials,Raw Materials,Agricultural Products,Oils & Fats
PROD-5195a3,Precision Steel Bracket,A high-quality stamped metal bracket designed for structural support applications.,Box,True,Direct Materials,Components & Sub-Assemblies,Fabricated Parts,Stamped Metal Parts
PROD-57a850,Advanced Power Supply IC,A high-efficiency integrated circuit designed to optimize power distribution and reduce energy waste.,Set,False,Direct Materials,Components & Sub-Assemblies,Electronic Components,Semiconductors & Integrated Circuits
PROD-68a166,Organic Quinoa Mix,"A premium blend of quinoa and ancient grains, perfect for healthy meals and snacks.",Set,False,Direct Materials,Raw Materials,Agricultural Products,Grains & Cereals
PROD-f4a905,Precision Carbon Film Resistor,A high-quality carbon film resistor designed for accurate and stable performance in electronic circuits.,KG,False,Direct Materials,Components & Sub-Assemblies,Electronic Components,"Passive Components (Resistors, Capacitors)"
PROD-c98119,UltraClear Sheet,A premium transparent sheet ideal for various industrial applications requiring superior clarity and durability.,Piece,True,Direct Materials,Raw Materials,Plastics & Polymers,Films & Sheeting
PROD-70abd7,Precision Aluminum Bearing,Durable machined aluminum bearing designed for smooth operation and longevity.,Piece,False,Direct Materials,Components & Sub-Assemblies,Fabricated Parts,Machined Parts
PROD-b59bed,Precision Ceramic Capacitor,A high-quality passive component designed for stable performance across various electronic applications.,Box,False,Direct Materials,Components & Sub-Assemblies,Electronic Components,"Passive Components (Resistors, Capacitors)"
PROD-019661,Eco Glass Bottle,A sustainable glass bottle perfect for storing beverages and homemade liquids.,Box,False,Direct Materials,Packaging Materials,Primary Packaging,"Bottles, Jars & Cans"
PROD-462623,Precision Shaft Assembly,High-quality machined shaft assembly designed for optimal performance in industrial applications.,Box,True,Direct Materials,Components & Sub-Assemblies,Fabricated Parts,Machined Parts
PROD-ed3a3e,Custom Silicone Mold Kit,A versatile kit designed to create intricate molds of various materials with ease and precision.,Set,False,Technical Materials,Manufacturing Equipment,Tooling & Molds,Molds & Patterns
PROD-7aead3,Precision CNC Lathe Machine,A high-precision lathe machine designed for intricate machining tasks.,Set,True,Technical Materials,Manufacturing Equipment,Production Machinery,CNC Machines & Lathes
PROD-4ac049,PowerPro 3-Ton Electric Forklift,A versatile electric forklift designed to handle heavy loads efficiently and safely.,Box,False,Technical Materials,Manufacturing Equipment,Material Handling Equipment,Forklifts & Pallet Jacks
PROD-3efe0c,QuantumSpec X1000,A state-of-the-art spectrometer for precise and reliable analysis of chemical compositions.,Box,True,Technical Materials,R&D and Laboratory,Lab Equipment,"Analytical Equipment (Spectrometers, Microscopes)"
PROD-a37158,All-Purpose CleanX,"A powerful, eco-friendly all-purpose cleaner that effectively tackles tough stains and surfaces.",Box,False,Technical Materials,"MRO (Maintenance, Repair & Operations)",Industrial Consumables,Cleaning Agents & Janitorial Supplies
PROD-f29471,Engine Oil Filter,High-quality oil filter designed specifically for automotive engines to ensure optimal performance and longevity.,Piece,False,Technical Materials,"MRO (Maintenance, Repair & Operations)",Spare Parts,Equipment-Specific Spare Parts
PROD-eca6b8,ProGuard Fall Helmet,A durable helmet designed to protect workers from falls and provide respiratory safety.,Set,False,Technical Materials,"MRO (Maintenance, Repair & Operations)",Safety & PPE (Personal Protective Equipment),Fall Protection & Respiratory Gear
PROD-4b12d1,Precision CNC Lathe Machine,Advanced CNC lathe designed for high-speed machining and precision manufacturing applications.,Box,False,Technical Materials,Manufacturing Equipment,Production Machinery,CNC Machines & Lathes
PROD-e181b4,Robo-Finish Pro,An advanced robotic assembly line finisher designed to enhance efficiency and precision.,Set,False,Technical Materials,Manufacturing Equipment,Production Machinery,Assembly Line Automation & Robotics
PROD-0bfdb5,SecureGuard Fall Harness,A durable fall protection harness designed to keep workers safe during hazardous tasks.,KG,False,Technical Materials,"MRO (Maintenance, Repair & Operations)",Safety & PPE (Personal Protective Equipment),Fall Protection & Respiratory Gear
PROD-968c23,Precision Process Mixer,A high-efficiency industrial mixer designed to blend materials uniformly for optimal processing results.,KG,False,Technical Materials,Manufacturing Equipment,Production Machinery,Processing Equipment
PROD-cb7171,PowerPal Lift,A robust electric pallet jack ideal for heavy-duty warehouse operations.,Set,False,Technical Materials,Manufacturing Equipment,Material Handling Equipment,Forklifts & Pallet Jacks
PROD-1fc2bc,Engine Oil Filter - Genuine OEM Part,High-quality engine oil filter designed to ensure optimal performance and longevity of your vehicle's engine.,Piece,False,Technical Materials,"MRO (Maintenance, Repair & Operations)",Spare Parts,Equipment-Specific Spare Parts
PROD-fb54ab,Calibrated Precision Thermometer,A durable thermometer providing accurate temperature readings essential for scientific and industrial testing.,Box,False,Technical Materials,R&D and Laboratory,Lab Equipment,Measurement & Testing Instruments
PROD-55668f,Precision CNC Router,High-precision cutting machine ideal for intricate woodworking and prototyping projects.,Piece,False,Technical Materials,Manufacturing Equipment,Production Machinery,CNC Machines & Lathes
PROD-dec4ff,QuantumSpec Ultra-Advanced Spectrometer,A state-of-the-art spectrometer offering unparalleled precision and versatility for detailed analysis of complex samples.,KG,False,Technical Materials,R&D and Laboratory,Lab Equipment,"Analytical Equipment (Spectrometers, Microscopes)"
PROD-4c157d,3D Print Pro Resin,"Highly durable resin specifically formulated for rapid prototyping applications, offering superior clarity and strength.",Piece,False,Technical Materials,R&D and Laboratory,Prototyping Services & Materials,Rapid Prototyping Materials
PROD-6961a7,Precision Cutting Machine,Advanced industrial cutting equipment designed for high precision and efficiency.,Box,False,Technical Materials,Manufacturing Equipment,Production Machinery,Processing Equipment
PROD-fb12d0,Universal Valve Kit,A set of versatile industrial valves designed to enhance operational efficiency and reliability.,KG,True,Technical Materials,"MRO (Maintenance, Repair & Operations)",Spare Parts,"General Industrial Spares (Valves, Belts)"
PROD-b5bb0d,Diamond Grinding Disc,High-quality diamond grinding disc ideal for surface preparation and polishing.,KG,False,Technical Materials,"MRO (Maintenance, Repair & Operations)",Industrial Consumables,Abrasives & Welding Supplies
PROD-36f55a,BioPure Enzyme Solution,"A high-purity enzyme reagent designed for sensitive biochemical applications, ensuring consistent and reliable results.",KG,False,Technical Materials,R&D and Laboratory,Lab Supplies,Chemicals & Reagents
PROD-1540da,ProMaster Forklift Model X,A durable and efficient industrial lift designed to handle heavy loads with ease.,Piece,True,Technical Materials,Manufacturing Equipment,Material Handling Equipment,Forklifts & Pallet Jacks
PROD-54bf98,Calibrated Multimeter Pro,A precision multimeter designed for accurate voltage and current measurements in professional testing environments.,KG,False,Technical Materials,R&D and Laboratory,Lab Equipment,Measurement & Testing Instruments
PROD-900a39,FusionResin Rapid Prototype Kit,"A versatile resin blend designed for quick and accurate 3D printing, ideal for creating high-quality prototypes.",Set,True,Technical Materials,R&D and Laboratory,Prototyping Services & Materials,Rapid Prototyping Materials
PROD-be8de9,Precision CNC Lathe Machine,A high-precision CNC lathe machine designed for intricate and detailed manufacturing processes.,KG,False,Technical Materials,Manufacturing Equipment,Production Machinery,CNC Machines & Lathes
PROD-3936d4,Heavy Duty LiftMaster Pro,A robust and reliable industrial lift designed to handle heavy loads efficiently.,Piece,False,Technical Materials,Manufacturing Equipment,Material Handling Equipment,Forklifts & Pallet Jacks
PROD-2b4642,Universal Valve Assembly,A reliable valve assembly designed for seamless integration into various industrial systems.,Set,False,Technical Materials,"MRO (Maintenance, Repair & Operations)",Spare Parts,"General Industrial Spares (Valves, Belts)"
PROD-36838f,Precision CNC Lathe Machine,A high-speed precision machining tool ideal for intricate part production and industrial applications.,Box,False,Technical Materials,Manufacturing Equipment,Production Machinery,CNC Machines & Lathes
PROD-0c85df,RoboMaster Conveyor System,"An advanced conveyor system designed to streamline and automate the assembly line process, enhancing efficiency and reducing operational costs.",Set,False,Technical Materials,Manufacturing Equipment,Production Machinery,Assembly Line Automation & Robotics
PROD-a1ea4d,PurityPro Advanced Water Purifier,A high-performance system designed to remove contaminants and ensure pristine water quality for laboratory use.,Box,False,Technical Materials,R&D and Laboratory,Lab Supplies,Chemicals & Reagents
PROD-577379,Precision Grinding Wheel,High-quality grinding wheel designed for efficient material removal and surface finishing.,Set,False,Technical Materials,"MRO (Maintenance, Repair & Operations)",Industrial Consumables,Abrasives & Welding Supplies
PROD-cce732,EcoClean Pro,"A powerful, eco-friendly cleaning solution that effectively removes tough stains and disinfects surfaces.",Set,False,Technical Materials,"MRO (Maintenance, Repair & Operations)",Industrial Consumables,Cleaning Agents & Janitorial Supplies
PROD-2ae2a7,Advanced Polymerase Buffer Kit,A comprehensive buffer system designed for high-efficiency polymerase enzyme reactions.,KG,True,Technical Materials,R&D and Laboratory,Lab Supplies,Chemicals & Reagents
PROD-81acbf,QuickBuild Foam,"A lightweight, easy-to-use foam material ideal for rapid prototyping and creating functional prototypes.",Box,False,Technical Materials,R&D and Laboratory,Prototyping Services & Materials,Rapid Prototyping Materials
PROD-9093ad,Elite Forklift Pro Series,A durable and efficient lift truck designed to handle heavy lifting tasks with ease.,Box,False,Technical Materials,Manufacturing Equipment,Material Handling Equipment,Forklifts & Pallet Jacks
PROD-32bbd5,Engine Oil Filter Replacement,High-quality engine oil filter designed to improve performance and extend the life of your vehicle's engine.,KG,True,Technical Materials,"MRO (Maintenance, Repair & Operations)",Spare Parts,Equipment-Specific Spare Parts
PROD-277e61,FlexiFlow Conveyors,"High-speed, modular conveyors designed to optimize material handling operations with flexible routing and durable construction.",Box,False,Technical Materials,Manufacturing Equipment,Material Handling Equipment,Conveyor Systems
PROD-59310f,Calibrated Precision Thermometer,A reliable tool designed to accurately measure temperature in various environments.,Piece,True,Technical Materials,R&D and Laboratory,Lab Equipment,Measurement & Testing Instruments
PROD-6f4292,Premium Silicone Lubricant,A high-quality silicone-based lubricant perfect for reducing friction and protecting machinery.,Piece,False,Technical Materials,"MRO (Maintenance, Repair & Operations)",Industrial Consumables,"Lubricants, Oils & Greases"
PROD-7c4e8f,ProMax Forklift,A robust and reliable forklift designed to handle heavy lifting tasks efficiently.,KG,False,Technical Materials,Manufacturing Equipment,Material Handling Equipment,Forklifts & Pallet Jacks
PROD-d00a97,Universal Valve Replacement Kit,High-quality replacement valves and spares designed to ensure optimal performance and reliability for industrial applications.,Piece,False,Technical Materials,"MRO (Maintenance, Repair & Operations)",Spare Parts,"General Industrial Spares (Valves, Belts)"
PROD-f2aa5f,Precision Cutting Die Set,High-quality die set designed to ensure accurate and clean cuts on various materials.,KG,False,Technical Materials,Manufacturing Equipment,Tooling & Molds,"Dies, Jigs & Fixtures"
PROD-3eeba4,Precision Grinding Wheel,High-quality grinding wheel designed for efficient and precise material removal during surface preparation and finishing.,KG,False,Technical Materials,"MRO (Maintenance, Repair & Operations)",Industrial Consumables,Abrasives & Welding Supplies
PROD-dc2eb1,Precision Prototyping Solutions,Offering high-quality 3D printing services to create detailed prototypes and functional parts for your projects.,Set,False,Technical Materials,R&D and Laboratory,Prototyping Services & Materials,3D Printing Services
PROD-daab34,Precision Press Die Set,A high-quality press die set designed for efficient manufacturing processes.,Box,False,Technical Materials,Manufacturing Equipment,Tooling & Molds,"Dies, Jigs & Fixtures"
PROD-9965cc,Premium Diamond Grinding Disc,High-quality abrasive disc perfect for surface grinding and finishing.,Set,False,Technical Materials,"MRO (Maintenance, Repair & Operations)",Industrial Consumables,Abrasives & Welding Supplies
PROD-592282,Precision CNC Lathe Machine,A state-of-the-art CNC lathe machine offering unmatched accuracy and efficiency for intricate metalwork projects.,Piece,True,Technical Materials,Manufacturing Equipment,Production Machinery,CNC Machines & Lathes
PROD-de46d5,RoboMaster 5000,An advanced robotic assembly line system designed to streamline production processes and increase efficiency.,Box,False,Technical Materials,Manufacturing Equipment,Production Machinery,Assembly Line Automation & Robotics
PROD-84cab9,Protolight Resin,"A high-quality, UV-curable resin ideal for rapid prototyping of detailed parts and prototypes.",Piece,True,Technical Materials,R&D and Laboratory,Prototyping Services & Materials,Rapid Prototyping Materials
PROD-17e196,Customized 3D Prototypes,"High-quality, on-demand 3D printing services to create functional prototypes for your projects.",Piece,True,Technical Materials,R&D and Laboratory,Prototyping Services & Materials,3D Printing Services
PROD-417194,ProGuard Safety Kit,"A comprehensive set of high-quality safety gloves, goggles, and hard hats designed to protect your hands, eyes, and head during industrial activities.",KG,False,Technical Materials,"MRO (Maintenance, Repair & Operations)",Safety & PPE (Personal Protective Equipment),"Safety Gloves, Goggles & Hard Hats"
PROD-f29fe2,Eco-Friendly Silicone Mold Set,"A set of durable, reusable silicone molds perfect for casting various materials.",KG,True,Technical Materials,Manufacturing Equipment,Tooling & Molds,Molds & Patterns
PROD-c693ff,EcoClean Multi-Surface Cleaner,"A powerful, eco-friendly cleaning solution that effectively cleans and disinfects a wide range of surfaces.",Box,False,Technical Materials,"MRO (Maintenance, Repair & Operations)",Industrial Consumables,Cleaning Agents & Janitorial Supplies
PROD-26ab14,MoldPro Rapid Resin,"A high-quality, fast-setting resin ideal for creating detailed prototypes and functional parts quickly.",KG,False,Technical Materials,R&D and Laboratory,Prototyping Services & Materials,Rapid Prototyping Materials
PROD-25b622,ProGuard Elite Safety Helmet,A durable hard hat designed to protect your head from impact and provide comfort during extended work periods.,Box,False,Technical Materials,"MRO (Maintenance, Repair & Operations)",Safety & PPE (Personal Protective Equipment),"Safety Gloves, Goggles & Hard Hats"
PROD-a1812a,Eco-Friendly Glass Water Bottle,"A durable, reusable glass water bottle designed to reduce plastic waste and keep your beverages cool.",Piece,False,Technical Materials,R&D and Laboratory,Lab Supplies,Glassware & Plasticware
PROD-3b547a,Engine Oil Filter - Genuine Model XYZ,High-quality engine oil filter designed specifically for optimal performance and longevity of your vehicle's engine.,Box,False,Technical Materials,"MRO (Maintenance, Repair & Operations)",Spare Parts,Equipment-Specific Spare Parts
PROD-a66ec4,Precision Cutting Wheel,"High-quality abrasive wheel designed for precise cutting tasks on wood, metal, and plastic.",KG,False,Technical Materials,"MRO (Maintenance, Repair & Operations)",Industrial Consumables,Abrasives & Welding Supplies
PROD-adbb05,Calibrated Digital Thermometer,A precision digital thermometer designed for accurate temperature measurement in various industrial and laboratory applications.,Piece,False,Technical Materials,R&D and Laboratory,Lab Equipment,Measurement & Testing Instruments
PROD-745d36,Acidic Buffer Solution,A pH-sensitive chemical solution used to maintain optimal acidity levels in laboratory experiments.,Box,False,Technical Materials,R&D and Laboratory,Lab Supplies,Chemicals & Reagents
PROD-9c3323,Digital Multimeter Pro,"A versatile digital multimeter that accurately measures voltage, current, and resistance across various applications.",Set,False,Technical Materials,R&D and Laboratory,Lab Equipment,Measurement & Testing Instruments
PROD-4c3ab1,Acidic Buffer Solution,A pH 4.0 buffer solution ideal for biochemical and analytical applications.,Piece,True,Technical Materials,R&D and Laboratory,Lab Supplies,Chemicals & Reagents
PROD-98b1bc,Brake Caliper Piston Rebuild Kit,"A comprehensive set of high-quality components to rebuild and restore your brake calipers efficiently, ensuring optimal braking performance.",Set,True,Technical Materials,"MRO (Maintenance, Repair & Operations)",Spare Parts,Equipment-Specific Spare Parts
PROD-3a3ac7,OptiClean Pro,The OptiClean Pro is an advanced processing equipment designed to enhance efficiency and purity in industrial operations.,Box,False,Technical Materials,Manufacturing Equipment,Production Machinery,Processing Equipment
PROD-90be03,Precision CNC Lathe Machine,A high-precision CNC lathe machine designed for efficient and accurate machining of complex parts.,Set,False,Technical Materials,Manufacturing Equipment,Production Machinery,CNC Machines & Lathes
PROD-f03f55,Elegant Glass Vase,A beautiful handcrafted glass vase perfect for showcasing your favorite flowers or decorative pieces.,Piece,False,Technical Materials,R&D and Laboratory,Lab Supplies,Glassware & Plasticware
PROD-dfb72e,Digital Multimeter Pro,A versatile digital multimeter perfect for electrical testing and measurement needs.,KG,False,Technical Materials,R&D and Laboratory,Lab Equipment,Measurement & Testing Instruments
PROD-73b915,SpeedMaster Pro,An advanced processing equipment designed to enhance productivity through its efficient motor and ergonomic design.,Piece,False,Technical Materials,Manufacturing Equipment,Production Machinery,Processing Equipment
PROD-f6baaf,Mason Jar Glass,A durable glass mason jar perfect for storing food and home goods.,Piece,False,Technical Materials,R&D and Laboratory,Lab Supplies,Glassware & Plasticware
PROD-507899,Guardian Fall Helmet,A durable fall protection helmet designed to enhance safety during construction and outdoor activities.,Set,False,Technical Materials,"MRO (Maintenance, Repair & Operations)",Safety & PPE (Personal Protective Equipment),Fall Protection & Respiratory Gear
PROD-ad3276,All-Purpose Kitchen Cleaner Spray,"A powerful, eco-friendly cleaner that effortlessly removes tough stains and grime from kitchen surfaces.",Piece,False,Technical Materials,"MRO (Maintenance, Repair & Operations)",Industrial Consumables,Cleaning Agents & Janitorial Supplies
PROD-f2cb9e,OptiView Pro,A state-of-the-art spectrometer designed to provide precise and detailed analysis of various materials.,Piece,False,Technical Materials,R&D and Laboratory,Lab Equipment,"Analytical Equipment (Spectrometers, Microscopes)"
PROD-675f65,OptiSpec-2000 Spectrometer,A high-performance spectrometer designed for precise and accurate analysis of various materials.,Set,True,Technical Materials,R&D and Laboratory,Lab Equipment,"Analytical Equipment (Spectrometers, Microscopes)"
PROD-9c154e,Elegant Clear Glass,"Stylish, durable glassware perfect for everyday use and special occasions.",Box,True,Technical Materials,R&D and Laboratory,Lab Supplies,Glassware & Plasticware
PROD-e0f6c3,MaxiMight Pro Forklift,A robust and efficient industrial forklift designed to handle heavy loads with ease.,Set,False,Technical Materials,Manufacturing Equipment,Material Handling Equipment,Forklifts & Pallet Jacks
PROD-4c9c1e,Compact Hydraulic Pump Assembly,A high-performance hydraulic pump assembly designed to provide efficient power transmission and support critical equipment operations.,Set,False,Technical Materials,"MRO (Maintenance, Repair & Operations)",Spare Parts,Equipment-Specific Spare Parts
PROD-8885b8,Precision Drill Bit Holder,A durable jig designed to securely hold and position drill bits during drilling operations.,Set,True,Technical Materials,Manufacturing Equipment,Tooling & Molds,"Dies, Jigs & Fixtures"
PROD-c83d4c,EcoClean Pro,A powerful yet eco-friendly cleaning agent that effectively removes tough stains and grime while being safe for the environment.,Set,False,Technical Materials,"MRO (Maintenance, Repair & Operations)",Industrial Consumables,Cleaning Agents & Janitorial Supplies
PROD-089b5d,Guardian Safety Gear,"Protect your hands, eyes, and head with top-quality safety gloves, goggles, and hard hats designed for maximum comfort and durability.",KG,False,Technical Materials,"MRO (Maintenance, Repair & Operations)",Safety & PPE (Personal Protective Equipment),"Safety Gloves, Goggles & Hard Hats"
PROD-53bc7a,OptiCut Pro,A state-of-the-art cutting machine designed to enhance precision and efficiency in material processing.,Set,False,Technical Materials,Manufacturing Equipment,Production Machinery,Processing Equipment
,TaxPro Advisor,A comprehensive tax planning service that helps businesses and individuals optimize their financial strategies.,Set,False,Indirect Services and Materials,Corporate & Professional Services,Financial Services,"Audit, Tax & Advisory Services"
,EcoClean Pro,"Advanced eco-friendly cleaning service that uses non-toxic, plant-based products to maintain a spotless and healthy environment.",Piece,False,Indirect Services and Materials,Facility Services,Facility Management,Janitorial & Cleaning Services
,PixelMaster Pro Laptop,A high-performance laptop designed for demanding creative work and everyday computing tasks.,KG,False,Indirect Services and Materials,IT & Technology,Hardware,"End-User Computing (Laptops, Desktops, Monitors)"
,Global Logistics Solutions,A comprehensive freight forwarding and customs brokerage service designed to simplify international trade operations.,Set,False,Indirect Services and Materials,Logistics,Transportation & Freight,Freight Forwarding & Customs Brokerage
,Sunny Lease Solutions,Affordable vehicle leasing options tailored to your needs.,Piece,False,Indirect Services and Materials,Logistics,Fleet Management,Vehicle Leasing & Purchase
,Global Logistics Solutions,Streamline your shipping processes with expert freight forwarding and customs brokerage services.,Box,False,Indirect Services and Materials,Logistics,Transportation & Freight,Freight Forwarding & Customs Brokerage
,SecurePay Pro,A cutting-edge payment processing solution designed to enhance security and streamline transactions.,KG,False,Indirect Services and Materials,Corporate & Professional Services,Financial Services,Payment Processing
,Express Delivery Pro,"A premium courier service offering fast, secure, and reliable delivery solutions for time-sensitive parcels.",Set,False,Indirect Services and Materials,Logistics,Transportation & Freight,Parcel & Courier Services
,CityStay Suites,Modern serviced apartments offering comfortable living spaces with kitchen amenities and central location.,Set,False,Indirect Services and Materials,Corporate Travel,Accommodation,Serviced Apartments
,Wellness Wellness Program,"Comprehensive employee wellness program offering health assessments, mental health support, and fitness classes to promote overall well-being.",KG,False,Indirect Services and Materials,Corporate & Professional Services,Human Resources Services,Employee Welfare & Assistance Programs
,EcoFuel Platinum Card,A premium fuel card offering exclusive discounts and rewards at participating gas stations.,Set,False,Indirect Services and Materials,Logistics,Fleet Management,"Fuel, Fuel Cards & Management"
,Dynamic Display Solutions,Tailored merchandising services that enhance store aesthetics and boost sales.,Piece,False,Indirect Services and Materials,Marketing & Sales,Sales Support,Merchandising Services
,Artisan Creative Solutions,"Specializing in bespoke branding, web design, and content strategy to elevate your brand's presence.",Box,False,Indirect Services and Materials,Marketing & Sales,Marketing & Advertising,"Creative, Content & Branding Agencies"
,InsightTrack Pro,A comprehensive tool that offers advanced brand tracking and analytics to help businesses measure their market impact effectively.,KG,True,Indirect Services and Materials,Marketing & Sales,Market Research,Brand Tracking & Analytics
,MasterMind Sales Mastery Course,Unlock your sales potential with proven strategies and techniques designed to boost performance.,Set,False,Indirect Services and Materials,Marketing & Sales,Sales Support,Sales Training
,TechGuard Managed IT Solutions,Comprehensive managed services including helpdesk support and network management to ensure optimal business performance.,Piece,True,Indirect Services and Materials,IT & Technology,IT Services & Telecom,"Managed Services (Helpdesk, Network Management)"
,SecureGuard Pro,A comprehensive home security system that includes advanced monitoring capabilities and alerts to keep your property safe.,KG,False,Indirect Services and Materials,Facility Services,Security Services,Alarm Systems & Monitoring
